DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,26.310012500000,32.614987500000,1007815788.122999906540,1249330433.877000093460,372892183.383399963379,462252684.216600000858,124052.747049999991,153780.952950000006
BE,35.720000000000,44.280000000000,1554428291.953999757767,1926934064.046000003815,286815298.999399960041,355548192.600600004196,33.183880000000,41.136120000000
BG,75.905000000000,94.095000000000,515047831.612799942493,638474747.587200045586,261079880.830499976873,323645496.169499993324,504543.839099999925,625453.560899999924
CY,60.277500000000,74.722500000000,568129101.739499926567,704276501.260499954224,166245587.806699991226,206084955.993299990892,7360.963279999998,9124.956719999998
CZ,51.226820971230,63.502901248770,12834798103.463998794556,15910550392.535999298096,4431923502.356999397278,5493996995.642999649048,73803.351289999991,91489.708709999992
DE,49.115000000000,60.885000000000,235925601.432499974966,292463203.567499995232,49555499.700819998980,61431061.779179997742,223428.707159999962,276971.532840000000
DK,58.548276538150,72.578882561850,9064227255.960998535156,11236393698.038999557495,3601108788.803999423981,4464084467.196000099182,45547.464999999997,56462.534999999996
ES,40.943172484620,50.754862195380,12853719425.926998138428,15934006052.072999954224,4640787650.988999366760,5752913695.010999679565,741114.755819999962,918716.724180000019
FR,68.091250000000,84.408750000000,6158506673.970999717712,7634341420.029000282288,2151675850.561999797821,2667307017.437999725342,312065.002769999963,386848.777230000007
GR,65.486666663690,81.179999996310,3610496929.951999664307,4475722398.048000335693,1055593562.593999862671,1308557753.405999898911,66737.881709999987,82731.058290000001
HU,44.650000000000,55.350000000000,832822549.040999889374,1032401524.958999991417,356908512.297999978065,442438659.702000021935,63883.487579999994,79192.632419999994
IE,50.169633000000,62.192367000000,15274806595.939998626709,18935286564.060001373291,4803890442.367999076843,5955102709.631999969482,201208.080999999976,249425.918999999994
IT,75.905000000000,94.095000000000,3083791030.310999870300,3822795823.689000129700,1429607147.872999906540,1772200574.127000093460,158820.308969999984,196880.271030000004
LT,35.720000000000,44.280000000000,118388419.027499988675,146759215.972499996424,25240979.857139997184,31289770.102859999985,178759.846999999980,221598.152999999991
LU,75.905000000000,94.095000000000,1512779982.861999750137,1875305085.138000011444,396096237.402399957180,491017396.197600007057,748.334000000000,927.666000000000
LV,71.440000000000,88.560000000000,161530841.692999988794,200240360.307000011206,95242904.283999994397,118067071.716000005603,9298.389289999999,11526.670710000000
MT,75.574259259590,93.685000000410,15066159431.126998901367,18676638846.873001098633,6266074883.916998863220,7767687454.083000183105,39606.693199999994,49098.106800000001
PL,70.175288750000,86.992211250000,846690983.081899881363,1049593413.518099904060,221461827.866799980402,274533307.333199977875,511214.933089999948,633723.326909999945
PT,74.788750000000,92.711250000000,6702299978.587999343872,8308450253.411999702454,1225001073.280999898911,1518562360.718999862671,2364.806880000000,2931.513120000000
RO,43.533750000000,53.966250000000,1488678358.468999862671,1845427707.530999898911,510314956.706099987030,632607678.693899989128,72573.824239999987,89965.535759999984
SE,71.413210000000,88.526790000000,88859293.757209986448,110153682.182789996266,36369969.451689995825,45085729.208310000598,28393.827999999998,35198.171999999999
SK,54.244726875000,67.244023125000,2918862387.020999908447,3618343406.979000091553,1337696534.705999851227,1658264349.293999910355,128437.618159999984,159216.621840000007
UK,52.749091406250,65.389971093750,6261936724.595999717712,7762557619.404000282288,2103938038.733999729156,2608129237.265999794006,228987.382119999966,283862.297879999969
