DMUs,d_0.19200000000000014_opt,d_0.19200000000000014_pes
AT,-0.187529113168,0.066118755100
BE,-0.441632771690,0.105082388292
BG,-0.206577819989,0.012787808828
CY,-0.005342221031,0.034777008164
CZ,-0.232749732159,0.419920442956
DE,-0.084304875177,0.011096877833
DK,-0.197100393240,0.466051403616
ES,-0.629286062163,-0.066942027415
FR,-0.105410556690,0.336871059184
GR,-0.031625871386,0.249461480161
HU,-0.108689160944,0.053644886810
IE,-0.250644689144,0.358719446494
IT,-0.077710717936,0.209838886316
LT,-0.590315474589,-0.002111667720
LU,-0.007599926944,0.102113613471
LV,-0.006595305311,0.005793870475
MT,-0.438304806498,0.256985000420
PL,-0.221791683821,0.043032206178
PT,0.014866862813,0.462832001803
RO,-0.123768289042,0.100395601450
SE,-0.002104895145,0.713042886877
SK,-0.081291711044,0.199701904129
UK,-0.106691504579,0.371781317825
