DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,25.367212500000,33.557787500000,971701448.570999860764,1285444773.428999900818,359529865.501799941063,475615002.098200023174,119607.407849999989,158226.292149999994
BE,34.440000000000,45.560000000000,1498726494.257999897003,1982635861.742000102997,276537483.133799970150,365826008.466199994087,31.994760000000,42.325240000000
BG,73.185000000000,96.815000000000,496591470.345599949360,656931108.854400038719,251724274.798499971628,333001102.201499998569,486463.880699999863,643533.519299999927
CY,58.117500000000,76.882500000000,547770612.091499924660,724634990.908499956131,160288299.105899989605,212042244.694100022316,7097.188559999998,9388.731440000000
CZ,49.391145415710,65.338576804290,12374872527.527997970581,16370475968.472000122070,4273108774.388999462128,5652811723.611000061035,71158.662329999992,94134.397670000006
DE,47.355000000000,62.645000000000,227471380.552499979734,300917424.447499990463,47779714.717139996588,63206846.762860000134,215422.303319999977,284977.936679999984
DK,56.450241992550,74.676917107450,8739417320.696998596191,11561203633.302999496460,3472065696.707999706268,4593127559.291999816895,43915.304999999993,58094.695000000000
ES,39.476003929740,52.222030750260,12393115818.278997421265,16394609659.721000671387,4474488429.452999114990,5919212916.546999931335,714557.452139999834,945274.027860000031
FR,65.651250000000,86.848750000000,5937821104.466999053955,7855026989.532999992371,2074572124.673999786377,2744410743.326000213623,300882.382289999980,398031.397710000048
GR,63.139999997130,83.526666662870,3481117420.703999519348,4605101907.296000480652,1017767141.537999868393,1346384174.462000131607,64346.378669999991,85122.561329999997
HU,43.050000000000,56.950000000000,802978963.856999874115,1062245110.143000006676,344118957.545999944210,455228214.453999996185,61594.269659999991,81481.850340000005
IE,48.371841000000,63.990159000000,14727445105.379997253418,19482648054.619998931885,4631746551.935998916626,6127246600.064000129700,193997.936999999976,256636.062999999995
IT,73.185000000000,96.815000000000,2973285640.646999359131,3933301213.353000164032,1378378224.320999860764,1823429497.678999900818,153129.099689999974,202571.480310000014
LT,34.440000000000,45.560000000000,114146056.867499977350,151001578.132499992847,24336487.857779998332,32194262.102220002562,172354.118999999977,228003.880999999994
LU,73.185000000000,96.815000000000,1458570621.773999691010,1929514446.226000070572,381902419.264799952507,505211214.335200011730,721.518000000000,954.482000000000
LV,68.880000000000,91.120000000000,155742502.460999965668,206028699.539000004530,91829944.667999982834,121480031.332000002265,8965.188329999999,11859.871670000000
MT,72.866111111430,96.393148148570,14526274658.678997039795,19216523619.320999145508,6041534686.508998870850,7992227651.491000175476,38187.416399999995,50517.383600000001
PL,67.660608750000,89.506891250000,816350432.736299872398,1079933963.863699913025,213525905.703599959612,282469229.496399998665,492895.920929999906,652042.339069999987
PT,72.108750000000,95.391250000000,6462127974.875999450684,8548622257.124000549316,1181104058.336999893188,1562459375.663000106812,2280.065759999999,3016.254240000000
RO,41.973750000000,55.526250000000,1435332661.412999868393,1898773404.587000131607,492028194.539699971676,650894440.860300064087,69973.194479999991,92566.165519999995
SE,68.854170000000,91.085830000000,85675086.142169982195,113337889.797830000520,35066678.273129992187,46389020.386869996786,27376.355999999996,36215.644000000000
SK,52.300906875000,69.187843125000,2814267094.316999435425,3722938699.683000087738,1289761160.561999797821,1706199723.437999963760,123835.150319999972,163819.089680000005
UK,50.858866406250,67.280196093750,6037544815.091999053955,7986949528.907999992371,2028544962.317999601364,2683522313.682000160217,220781.787239999976,292067.892760000017
