DMUs,d_0.09400000000000007_opt,d_0.09400000000000007_pes
AT,-0.254807031950,-0.059839131084
BE,0.011280860775,0.040391687950
BG,-0.089670380468,-0.003882225681
CY,0.000421815219,0.013430743385
CZ,-0.100039361132,0.169472718324
DE,-0.022170902487,0.005407841771
DK,-0.090355664610,0.114263103909
ES,-0.536696579946,-0.297067199701
FR,-0.040381873211,0.096397131308
GR,0.006483012414,0.077291046580
HU,-0.010276844084,0.010962014345
IE,-0.111496800396,0.168907219108
IT,-0.039537329288,0.034271093558
LT,-0.053288681087,-0.014279849988
LU,0.007233447960,0.036094475530
LV,-0.004137361212,0.000842116516
MT,-0.364304767713,-0.061369697047
PL,-0.124328489703,0.021018333356
PT,0.067295111844,0.177500824077
RO,-0.006914535251,0.026775986306
SE,-0.002930839033,-0.000631384961
SK,-0.042249986975,0.032368729596
UK,-0.035491570977,0.097864204050
