DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,29.138412500000,29.786587500000,1116158806.779000043869,1140987415.220999956131,412979137.028200030327,422165730.571799993515,137388.764649999997,140444.935349999985
BE,39.560000000000,40.440000000000,1721533685.042000055313,1759828670.957999706268,317648746.596199989319,324714745.003799974918,36.751240000000,37.568760000000
BG,84.065000000000,85.935000000000,570416915.414399981499,583105663.785599946976,289146698.926500022411,295578678.073499977589,558783.714299999992,571213.685699999915
CY,66.757500000000,68.242500000000,629204570.683500051498,643201032.316499948502,184117453.909099996090,188213089.890899986029,8152.287439999999,8333.632559999998
CZ,56.733847637790,57.995874582210,14214574831.271999359131,14530773664.727998733521,4908367686.260999679565,5017552811.738999366760,81737.418170000004,83555.641829999993
DE,54.395000000000,55.605000000000,261288264.072499990463,267100540.927499979734,54882854.651859998703,56103706.828139998019,247447.918680000002,252952.321319999959
DK,64.842380174950,66.284778925050,10038657061.753000259399,10261963892.246999740601,3988238065.092000007629,4076955190.907999515533,50443.945000000000,51566.054999999993
ES,45.344678149260,46.353356530740,14235530248.871000289917,14552195229.128997802734,5139685315.597000122070,5254016030.402999877930,820786.666859999998,839044.813139999867
FR,75.411250000000,77.088750000000,6820563382.482999801636,6972284711.516999244690,2382987028.225999832153,2435995839.773999691010,345612.864210000029,353300.915789999999
GR,72.526666663370,74.139999996630,3998635457.696000099182,4087583870.303999423981,1169072825.762000083923,1195078490.237999916077,73912.390830000004,75556.549169999998
HU,49.450000000000,50.550000000000,922353304.592999935150,942870769.406999945641,395277176.554000020027,404069995.445999979973,70751.141340000002,72324.978659999993
IE,55.563009000000,56.798991000000,16916891067.619998931885,17293202092.379997253418,5320322113.663999557495,5438671038.335999488831,222838.513000000006,227795.486999999965
IT,84.065000000000,85.935000000000,3415307199.302999973297,3491279654.696999549866,1583293918.529000043869,1618513803.470999956131,175893.936810000014,179806.643190000003
LT,39.560000000000,40.440000000000,131115505.507499992847,134032129.492499992251,27954455.855220001191,28576294.104779995978,197977.030999999988,202380.968999999983
LU,84.065000000000,85.935000000000,1675408066.125999927521,1712677001.873999834061,438677691.815200030804,448435941.784799993038,828.782000000000,847.218000000000
LV,79.120000000000,80.880000000000,178895859.388999998569,182875342.610999971628,105481783.131999999285,107828192.867999985814,10297.992170000001,10527.067830000000
MT,83.698703704070,85.560555555930,16685813748.471000671387,17056984529.528997421265,6939695476.140999794006,7094066861.858999252319,43864.523600000000,44840.276399999995
PL,77.719328750000,79.448171250000,937712634.118699908257,958571762.481299877167,245269594.356399983168,250725540.843599975109,566171.969569999957,578766.290429999935
PT,82.828750000000,84.671250000000,7422815989.723999977112,7587934242.275999069214,1356692118.112999916077,1386871315.886999845505,2619.030240000000,2677.289760000000
RO,48.213750000000,49.286250000000,1648715449.637000083923,1685390616.362999916077,565175243.205300092697,577747392.194700002670,80375.713519999990,82163.646479999981
SE,79.090330000000,80.849670000000,98411916.602329999208,100601059.337669983506,40279842.987369999290,41175855.672629997134,31446.243999999999,32145.755999999998
SK,60.076186875000,61.412563125000,3232648265.132999897003,3304557528.866999626160,1481502657.138000011444,1514458226.861999750137,142245.021680000005,145409.218319999985
UK,58.419766406250,59.719296093750,6935112453.107999801636,7089381890.891999244690,2330117267.981999874115,2381950008.017999649048,253604.166759999993,259245.513239999971
