DMUs,d_0.17600000000000013_opt,d_0.17600000000000013_pes
AT,-0.185011943864,0.065041196849
BE,-0.429796883300,0.103481828253
BG,-0.187737675580,0.010719830808
CY,-0.004393148652,0.034120144502
CZ,-0.211632107478,0.408373166148
DE,-0.074359988976,0.010757868270
DK,-0.181056278426,0.457431189715
ES,-0.615797054563,-0.080901649628
FR,-0.095009550814,0.329380262166
GR,-0.026212607606,0.245773192512
HU,-0.087190206032,0.052734763032
IE,-0.228033699398,0.345271690893
IT,-0.071311524176,0.206495084753
LT,-0.583571785788,-0.002801197643
LU,-0.005212212910,0.100552902758
LV,-0.006269932921,0.005526042218
MT,-0.427116650286,0.244293869050
PL,-0.205468881033,0.041229873283
PT,0.022657444256,0.456440318948
RO,-0.102567930726,0.098857951302
SE,-0.002076641519,0.708977722508
SK,-0.073840913388,0.196585777213
UK,-0.095070335953,0.365134448359
