DMUs,d_0.1220000000000001_opt,d_0.1220000000000001_pes
AT,-0.176516497462,0.061466943897
BE,-0.386460848355,0.098103005893
BG,-0.123048501046,0.003220924051
CY,-0.001143161999,0.032144999090
CZ,-0.140525026650,0.370517022989
DE,-0.040076369137,0.009426471227
DK,-0.128318587266,0.428791234807
ES,-0.566981606862,-0.127943541195
FR,-0.060049737351,0.304180802461
GR,-0.005790417425,0.233287483913
HU,-0.019743064157,0.049790728863
IE,-0.151722709353,0.300959208644
IT,-0.050559430440,0.195114229913
LT,-0.560438245467,-0.011471874449
LU,0.002919892794,0.095469197097
LV,-0.005165657974,0.004873142020
MT,-0.389356623071,0.202485533041
PL,-0.152089111750,0.034829932696
PT,0.051068427154,0.434604762845
RO,-0.034336346454,0.093759286375
SE,-0.001981285531,0.695480734954
SK,-0.053930599834,0.185991786081
UK,-0.057499143418,0.342834043962
