DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,27.341200000000,31.583800000000,1047315847.007999897003,1209830374.992000102997,387507218.566399991512,447637649.033600032330,128914.836799999990,148918.863200000022
BE,37.120000000000,42.880000000000,1615352133.183999776840,1866010222.816000223160,298056660.102400004864,344306831.497600018978,34.484480000000,39.835520000000
BG,78.880000000000,91.120000000000,535234476.748799979687,618288102.451200008392,271312574.927999973297,313412802.072000026703,524318.793599999975,605678.606399999931
CY,62.640000000000,72.360000000000,590396199.791999936104,682009403.208000063896,172761372.323199987411,199569171.476800024509,7649.466879999999,8836.453120000000
CZ,53.234591110080,61.495131109920,13337841702.143999099731,15407506793.856000900269,4605627111.071999549866,5320293386.928000450134,76695.979840000000,88597.080159999998
DE,51.040000000000,58.960000000000,245172405.519999980927,283216399.480000019073,51497764.526719994843,59488796.953280009329,232185.711359999987,268214.528640000033
DK,60.843001822400,70.284157277600,9419488122.656000137329,10881132831.343999862671,3742249670.783999919891,4322943585.216000556946,47332.639999999999,54677.360000000001
ES,42.547888091520,49.150146588480,13357504621.791999816895,15430220856.208000183105,4822677424.543999671936,5571023921.456000328064,770161.806719999993,889669.673279999988
FR,70.760000000000,81.740000000000,6399881515.615999221802,7392966578.384000778198,2236008050.751999855042,2582974817.248000144958,324295.993919999979,374617.786080000049
GR,68.053333330240,78.613333329760,3752005768.191999912262,4334213559.808000564575,1096966210.623999834061,1267185105.376000165939,69353.588159999999,80115.351840000003
HU,46.400000000000,53.600000000000,865463970.335999965668,999760103.664000034332,370897087.807999968529,428450084.192000031471,66387.319680000001,76688.800319999995
IE,52.135968000000,60.226032000000,15873483226.239999771118,18336609933.760002136230,4992172822.527999877930,5766820329.472000122070,209094.175999999978,241539.824000000022
IT,78.880000000000,91.120000000000,3204656300.255999565125,3701930553.744000434875,1485638783.007999897003,1716168938.992000102997,165045.069120000000,190655.510880000016
LT,37.120000000000,42.880000000000,123028502.639999985695,142119132.360000014305,26230267.981440000236,30300481.978560000658,185766.111999999994,214591.888000000006
LU,78.880000000000,91.120000000000,1572071471.551999807358,1816013596.448000192642,411620725.990399956703,475492907.609600067139,777.664000000000,898.336000000000
LV,74.240000000000,85.760000000000,167861837.727999985218,193909364.272000014782,98975828.863999992609,114334147.136000007391,9662.827840000000,11162.232160000001
MT,78.536296296640,90.722962963360,15656658400.991998672485,18086139877.007999420166,6511665724.831999778748,7522096613.168000221252,41159.027199999997,47545.772800000006
PL,72.925720000000,84.241780000000,879875960.022399902344,1016408436.577600002289,230141742.732799977064,265853392.467200011015,531251.352639999939,613686.907360000070
PT,77.720000000000,89.780000000000,6964988107.647999763489,8045762124.352000236511,1273013433.375999927521,1470550000.624000072479,2457.492480000000,2838.827520000000
RO,45.240000000000,52.260000000000,1547025214.623999834061,1787080851.376000165939,530316102.825600028038,612606532.574400067329,75418.263039999991,87121.096959999995
SE,74.212160000000,85.727840000000,92342020.836159989238,106670955.103840008378,37795444.178239993751,43660254.481760002673,29506.687999999998,34085.312000000005
SK,56.370780000000,65.117970000000,3033263488.415999889374,3503942305.584000110626,1390125850.175999879837,1605835033.824000120163,133471.567359999986,154182.672640000004
UK,54.816525000000,63.322537500000,6507365375.615999221802,7517128968.384000778198,2186399216.063999652863,2525668059.936000347137,237962.251519999991,274887.428480000002
