DMUs,d_0.1470000000000001_opt,d_0.1470000000000001_pes
AT,-0.180449574500,0.063088122519
BE,-0.406599636147,0.100580813182
BG,-0.152944731175,0.006795510680
CY,-0.002656101777,0.032929579115
CZ,-0.173412182716,0.387837804735
DE,-0.055989505199,0.010143413437
DK,-0.152454578243,0.441966088225
ES,-0.589945777593,-0.106178570282
FR,-0.076442547246,0.315831663932
GR,-0.015692365651,0.239075398450
HU,-0.048223350254,0.051085163685
IE,-0.187051671131,0.321276800859
IT,-0.060154962637,0.200402113257
LT,-0.570796723715,-0.005845063644
LU,-0.000858344462,0.097724114591
LV,-0.005678057439,0.005040603504
MT,-0.406838117152,0.221730368683
PL,-0.176469923003,0.037855830662
PT,0.037476990089,0.444808975415
RO,-0.064142281278,0.096070960407
SE,-0.002025431822,0.701687749004
SK,-0.061738824240,0.190911714571
UK,-0.074565172769,0.353133282723
