DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,24.925275000000,33.999725000000,954772851.905999898911,1302373370.094000101089,353266278.994799971581,481878588.605200052261,117523.655099999989,160310.044900000037
BE,33.840000000000,46.160000000000,1472616276.587999820709,2008746079.412000179291,271719756.946799993515,370643734.653200030327,31.437360000000,42.882640000000
BG,71.910000000000,98.090000000000,487940051.001599967480,665582528.198400139809,247338834.470999956131,337386542.529000043869,477988.900199999858,652008.499799999991
CY,57.105000000000,77.895000000000,538227570.068999886513,734178032.931000113487,157495820.027399986982,214834723.772600024939,6973.544159999999,9512.375840000001
CZ,48.530672499060,66.199049720940,12159282413.807998657227,16586066082.192001342773,4198664370.653999328613,5727256127.346000671387,69918.964379999990,95374.095620000007
DE,46.530000000000,63.470000000000,223508464.514999955893,304880340.485000014305,46947315.506039991975,64039245.973960012197,211669.301519999950,288730.938480000012
DK,55.466788299300,75.660370800700,8587162663.541998863220,11713458290.458002090454,3411576747.287999629974,4653616508.712000846863,43150.229999999996,58859.770000000004
ES,38.788268669640,52.909766010360,12177207877.193998336792,16610517600.806001663208,4396535669.357998847961,5997165676.642001152039,702108.716039999854,957722.763960000128
FR,64.507500000000,87.992500000000,5834374743.761999130249,7958473350.238000869751,2038429753.163999557495,2780553114.836000442505,295640.528939999989,403273.251060000039
GR,62.039999997180,84.626666662820,3420470775.743999481201,4665748552.256000518799,1000036006.667999863625,1364115309.332000255585,63225.361619999989,86243.578380000006
HU,42.300000000000,57.700000000000,788989783.301999926567,1076234290.698000192642,338123853.755999922752,461223318.244000077248,60521.198759999985,82554.921240000011
IE,47.529126000000,64.832874000000,14470869406.679998397827,19739223753.320003509521,4551054103.295999526978,6207939048.704000473022,190618.181999999972,260015.818000000028
IT,71.910000000000,98.090000000000,2921486239.241999626160,3985100614.758000373840,1354364666.405999898911,1847443055.594000101089,150461.345339999971,205239.234660000046
LT,33.840000000000,46.160000000000,112157449.604999989271,152990185.395000010729,23912507.233079995960,32618242.726920004934,169351.433999999979,231006.566000000021
LU,71.910000000000,98.090000000000,1433159983.763999700546,1954925084.236000299454,375249067.012799978256,511864566.587200045586,708.948000000000,967.052000000000
LV,67.680000000000,92.320000000000,153029218.445999979973,208741983.554000020027,90230119.847999989986,123079856.152000010014,8809.000379999999,12016.059620000002
MT,71.596666666980,97.662592593020,14273203671.593997955322,19469594606.406002044678,5936281468.973999023438,8097480869.026000976562,37522.130399999995,51182.669600000008
PL,66.481852500000,90.685647500000,802128299.761799812317,1094156096.838200092316,209805942.189599961042,286189193.010400056839,484308.883979999926,660629.376020000083
PT,70.852500000000,96.647500000000,6349547348.135998725891,8661202883.864000320435,1160527332.581999778748,1583036101.418000221252,2240.343359999999,3055.976640000000
RO,41.242500000000,56.257500000000,1410326865.917999744415,1923779200.082000255585,483456274.774199962616,659466360.625800132751,68754.149279999983,93785.210720000003
SE,67.654620000000,92.285380000000,84182488.822619989514,114830487.117380008101,34455760.533179990947,46999938.126820005476,26899.415999999997,36692.584000000003
SK,51.389741250000,70.099008750000,2765238050.861999511719,3771967743.138000488281,1267291453.931999683380,1728669430.068000316620,121677.743519999975,165976.496480000002
UK,49.972823437500,68.166239062500,5932361107.511999130249,8092133236.488000869751,1993204457.747999668121,2718862818.252000331879,216935.414639999974,295914.265360000019
