DMUs,d_0.05200000000000003_opt,d_0.05200000000000003_pes
AT,-0.211250373246,-0.103395789788
BE,0.017516414956,0.033621691979
BG,-0.048102824407,-0.007822110561
CY,0.003259414320,0.010490856242
CZ,-0.040493395061,0.108599244331
DE,0.000411924373,0.004271055293
DK,-0.043913200138,0.069367177499
ES,-0.477436377615,-0.348954223485
FR,-0.010168058477,0.065646847269
GR,0.022191888529,0.061328285165
HU,-0.005066408915,0.006330455491
IE,-0.049405978320,0.105686470529
IT,-0.022920895485,0.017909631323
LT,-0.040751463583,-0.021506773747
LU,0.013840254592,0.029784758108
LV,-0.002900140422,-0.000113547165
MT,-0.296627783841,-0.129046680920
PL,-0.077021637881,0.017494792187
PT,0.091294962045,0.152387607065
RO,0.000790257349,0.019531478676
SE,-0.002410312747,-0.001127375019
SK,-0.025655895981,0.015622625683
UK,-0.006039412585,0.067829435020
