DMUs,d_0.04700000000000003_opt,d_0.04700000000000003_pes
AT,-0.206065056733,-0.108581106300
BE,0.018269084706,0.032825880654
BG,-0.043343050755,-0.008673752334
CY,0.003600415856,0.010136565048
CZ,-0.033379091609,0.101377779144
DE,0.000889690568,0.004135123258
DK,-0.038453457682,0.064036308541
ES,-0.471259350974,-0.355131250126
FR,-0.006555766463,0.061969116612
GR,0.024060620550,0.059433967014
HU,-0.004520842288,0.005780183306
IE,-0.041994264551,0.098183651081
IT,-0.020947610498,0.015956928591
LT,-0.039272606679,-0.022367121813
LU,0.014621591835,0.029036104185
LV,-0.002752101319,-0.000227970402
MT,-0.288571000047,-0.137103464714
PL,-0.071414950953,0.017076538875
PT,0.094177838097,0.149396171765
RO,0.001713885928,0.018671591391
SE,-0.002348345332,-0.001186183672
SK,-0.023677490234,0.013631948843
UK,-0.002515649357,0.064270100435
