DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,26.457325000000,32.467675000000,1013458653.677999854088,1243687568.322000026703,374980045.552399992943,460164822.047600030899,124747.331299999991,153086.368700000021
BE,35.920000000000,44.080000000000,1563131697.843999862671,1918230658.156000137329,288421207.728399991989,353942283.871600031853,33.369680000000,40.950320000000
BG,76.330000000000,93.670000000000,517931638.060799956322,635590941.139200091362,262541694.272999972105,322183682.726999998093,507368.832599999907,622628.567399999942
CY,60.615000000000,74.385000000000,571310115.746999979019,701095487.253000020981,167176414.166199982166,205154129.633800029755,7402.178079999999,9083.741920000000
CZ,51.513645276780,63.216076943220,12906661474.703998565674,15838687021.296001434326,4456738303.601999282837,5469182194.398000717163,74216.583939999997,91076.476060000001
DE,49.390000000000,60.610000000000,237246573.444999963045,291142231.555000007153,49832966.104520000517,61153595.375480003655,224679.707759999961,275720.532240000030
DK,58.876094435900,72.251064664100,9114978808.345998764038,11185642145.654001235962,3621271771.943999767303,4443921484.056000709534,45802.489999999998,56207.510000000002
ES,41.172417571320,50.525617108680,12925688739.621997833252,15862036738.378002166748,4666771904.353999137878,5726929441.646000862122,745264.334519999917,914567.145480000065
FR,68.472500000000,84.027500000000,6192988794.205999374390,7599859299.794000625610,2163723307.731999874115,2655259560.268000125885,313812.287219999998,385101.492780000030
GR,65.853333330340,80.813333329660,3630712478.271999835968,4455506849.728000640869,1061503940.883999943733,1302647375.116000175476,67111.554059999995,82357.385940000007
HU,44.900000000000,55.100000000000,837485609.225999951363,1027738464.774000048637,358906880.227999985218,440440291.772000014782,64241.177879999988,78834.942120000007
IE,50.450538000000,61.911462000000,15360331828.839998245239,18849761331.159999847412,4830787925.247999191284,5928205226.752000808716,202334.665999999968,248299.334000000032
IT,76.330000000000,93.670000000000,3101057497.445999622345,3805529356.554000377655,1437611667.177999973297,1764196054.822000026703,159709.560419999994,195991.019580000022
LT,35.920000000000,44.080000000000,119051288.114999994636,146096346.885000020266,25382306.732039999217,31148443.227960001677,179760.741999999969,220597.258000000031
LU,76.330000000000,93.670000000000,1521250195.531999826431,1866834872.468000173569,398314021.486399948597,488799612.113600075245,752.524000000000,923.476000000000
LV,71.840000000000,88.160000000000,162435269.697999984026,199335932.302000015974,95776179.223999992013,117533796.776000007987,9350.451939999999,11474.608060000002
MT,75.997407407740,93.261851852260,15150516426.821998596191,18592281851.178001403809,6301159289.761999130249,7732603048.238000869751,39828.455199999997,48876.344800000006
PL,70.568207500000,86.599292500000,851431694.073399901390,1044852702.526600003242,222701815.704799979925,273293319.495200037956,514077.278739999980,630860.981260000030
PT,75.207500000000,92.292500000000,6739826854.167999267578,8270923377.832000732422,1231859981.865999937057,1511703452.134000062943,2378.047680000000,2918.272320000000
RO,43.777500000000,53.722500000000,1497013623.633999824524,1837092442.366000175476,513172263.294600009918,629750372.105400085449,72980.172639999990,89559.187359999996
SE,71.813060000000,88.126940000000,89356826.197059988976,109656149.742940008640,36573608.698339991271,44882089.961660005152,28552.807999999997,35039.192000000003
SK,54.548448750000,66.940301250000,2935205401.505999565125,3602000392.494000434875,1345186436.915999889374,1650774447.084000110626,129156.753759999978,158497.486239999998
UK,53.044439062500,65.094623437500,6296997960.455999374390,7727496383.544000625610,2115718206.923999786377,2596349069.076000213623,230269.506319999986,282580.173680000007
