DMUs,d_8.01_opt,d_8.01_pes
AT,-0.461770246314,-0.000000000000
BE,-0.167254864554,-0.000000000000
BG,-0.727274130353,-0.000000000000
CY,-0.698673887171,-0.000000000000
CZ,-0.000000000000,-0.000000000000
DE,-0.877665476331,-0.000000000000
DK,-0.000000000000,-0.000000000000
ES,-0.000000000000,-0.000000000000
FR,-0.000000000000,-0.000000000000
GR,-0.000000000000,-0.000000000000
HU,-0.556056784315,-0.000000000000
IE,-0.000000000000,-0.000000000000
IT,-0.000000000000,-0.000000000000
LT,-0.940994631636,-0.000000000000
LU,-0.189695016519,-0.000000000000
LV,-0.917749449734,-0.000000000000
MT,-0.000000000000,-0.000000000000
PL,-0.548584457726,-0.000000000000
PT,-0.000000000000,-0.000000000000
RO,-0.202680996641,-0.000000000000
SE,-0.956904954838,-0.000000000000
SK,-0.000000000000,-0.000000000000
UK,-0.000000000000,-0.000000000000
