DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,23.599462500000,35.325537500000,903987061.910999774933,1353159160.088999986649,334475519.473799943924,500669348.126200020313,111272.396849999976,166561.303150000022
BE,32.040000000000,47.960000000000,1394285623.577999591827,2087076732.422000169754,257266578.385799944401,385096913.214200019836,29.765160000000,44.554840000000
BG,68.085000000000,101.915000000000,461985792.969599902630,691536786.230400085449,234182513.488499939442,350542863.511500000954,452563.958699999843,677433.441299999948
CY,54.067500000000,80.932500000000,509598444.001499891281,762807158.998499989510,149118382.791899979115,223212161.008100032806,6602.610959999998,9883.309040000000
CZ,45.949253749110,68.780468470890,11512512072.647996902466,17232836423.352001190186,3975331159.448998928070,5950589338.551000595093,66199.870529999986,99093.189469999998
DE,44.055000000000,65.945000000000,211619716.402499943972,316769088.597500026226,44450117.872739993036,66536443.607260003686,200410.296119999955,299989.943880000035
DK,52.516427219550,78.610731880450,8130398692.076997756958,12170222261.923000335693,3230109899.027999401093,4835083356.972000122070,40855.004999999990,61154.995000000003
ES,36.725062889340,54.972971790660,11529484053.938997268677,17258241424.061000823975,4162677389.072999000549,6231023956.927000045776,664762.507739999797,995068.972260000068
FR,61.076250000000,91.423750000000,5524035661.646998405457,8268812432.353000640869,1930002638.633999586105,2888980229.366000175476,279914.968889999960,418998.811110000068
GR,58.739999997330,87.926666662670,3238530840.863999366760,4847688487.136000633240,946842602.057999849319,1417308713.942000150681,59862.310469999989,89606.629530000006
HU,40.050000000000,59.950000000000,747022241.636999845505,1118201832.363000154495,320138542.385999917984,479208629.614000022411,57301.986059999988,85774.133940000000
IE,45.000981000000,67.361019000000,13701142310.579996109009,20508950849.420001983643,4308976757.375999450684,6450016394.624000549316,180478.916999999958,270155.083000000042
IT,68.085000000000,101.915000000000,2766088035.026999473572,4140498818.973000049591,1282323992.660999774933,1919483729.338999986649,142458.082289999962,213242.497710000025
LT,32.040000000000,47.960000000000,106191627.817499980330,158956007.182500004768,22640565.358979996294,33890184.601020000875,160343.378999999957,240014.621000000014
LU,68.085000000000,101.915000000000,1356928069.733999729156,2031156998.266000032425,355289010.256799936295,531824623.343200027943,671.238000000000,1004.762000000000
LV,64.080000000000,95.920000000000,144889366.400999963284,216881835.599000006914,85430645.387999981642,127879330.612000003457,8340.436529999999,12484.623470000002
MT,67.788333333630,101.470925926370,13513990710.338996887207,20228807567.660999298096,5620521816.368998527527,8413240521.631000518799,35526.272399999994,53178.527600000001
PL,62.945583750000,94.221916250000,759461900.838299751282,1136822495.761699914932,198646051.647599965334,297349083.552399992943,458547.773129999929,686390.486870000022
PT,67.083750000000,100.416250000000,6011805467.915998458862,8998944764.083999633789,1098797155.316999673843,1644766278.683000087738,2121.176160000000,3175.143840000000
RO,39.048750000000,58.451250000000,1335309479.432999610901,1998796586.567000150681,457740515.477699935436,685182119.922300100327,65097.013679999982,97442.346319999997
SE,64.055970000000,95.884030000000,79704696.863969981670,119308279.076030001044,32623007.313329990953,48832691.346670001745,25468.595999999994,38123.404000000002
SK,48.656244375000,72.832505625000,2618150920.496999263763,3919054873.503000259399,1199882334.041999816895,1796078549.958000183105,115205.523119999969,172448.716879999993
UK,47.314694531250,70.824367968750,5616809984.771998405457,8407684359.228000640869,1887182944.037999629974,2824884331.962000370026,205396.296839999966,307453.383160000027
