DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,26.604637500000,32.320362500000,1019101519.232999920845,1238044702.766999959946,377067907.721399962902,458076959.878600001335,125441.915549999991,152391.784450000006
BE,36.120000000000,43.880000000000,1571835103.733999967575,1909527252.266000032425,290027116.457399964333,352336375.142599999905,33.555480000000,40.764520000000
BG,76.755000000000,93.245000000000,520815444.508799970150,632707134.691200017929,264003507.715499967337,320721869.284500002861,510193.826099999889,619803.573899999959
CY,60.952500000000,74.047500000000,574491129.754499912262,697914473.245499968529,168107240.525700002909,204223303.274300009012,7443.392879999999,9042.527119999999
CZ,51.800469582330,62.929252637670,12978524845.943998336792,15766823650.055999755859,4481553104.846999168396,5444367393.152999877930,74629.816589999988,90663.243409999995
DE,49.665000000000,60.335000000000,238567545.457499980927,289821259.542500019073,50110432.508219994605,60876128.971780002117,225930.708359999961,274469.531640000001
DK,59.203912333650,71.923246766350,9165730360.730998992920,11134890593.268999099731,3641434755.083999633789,4423758500.916000366211,46057.514999999992,55952.485000000001
ES,41.401662658020,50.296372021980,12997658053.316999435425,15790067424.683000564575,4692756157.718999862671,5700945188.281000137329,749413.913219999871,910417.566779999994
FR,68.853750000000,83.646250000000,6227470914.440999031067,7565377179.559000015259,2175770764.901999950409,2643212103.098000049591,315559.571669999976,383354.208329999994
GR,66.219999996990,80.446666663010,3650928026.591999530792,4435291301.407999992371,1067414319.173999905586,1296736996.825999975204,67485.226409999988,81983.713589999999
HU,45.150000000000,54.850000000000,842148669.410999894142,1023075404.588999986649,360905248.157999992371,438441923.842000007629,64598.868179999990,78477.251819999990
IE,50.731443000000,61.630557000000,15445857061.739997863770,18764236098.259998321533,4857685408.127999305725,5901307743.871999740601,203461.250999999989,247172.748999999982
IT,76.755000000000,93.245000000000,3118323964.580999851227,3788262889.419000148773,1445616186.482999801636,1756191535.516999959946,160598.811870000005,195101.768130000011
LT,36.120000000000,43.880000000000,119714157.202499985695,145433477.797499984503,25523633.606939997524,31007116.353059999645,180761.636999999988,219596.362999999983
LU,76.755000000000,93.245000000000,1529720408.201999902725,1858364659.797999858856,400531805.570399999619,486581828.029600024223,756.714000000000,919.286000000000
LV,72.240000000000,87.760000000000,163339697.702999979258,198431504.296999990940,96309454.163999989629,117000521.835999995470,9402.514589999999,11422.545410000001
MT,76.420555555890,92.838703704110,15234873422.516998291016,18507924855.482997894287,6336243695.606999397278,7697518642.392999649048,40050.217199999999,48654.582800000004
PL,70.961126250000,86.206373750000,856172405.064899921417,1040111991.535099983215,223941803.542799979448,272053331.657199978828,516939.624389999954,627998.635609999998
PT,75.626250000000,91.873750000000,6777353729.747999191284,8233396502.251999855042,1238718890.450999975204,1504844543.549000024796,2391.288480000000,2905.031520000000
RO,44.021250000000,53.478750000000,1505348888.798999786377,1828757177.200999975204,516029569.883099973202,626893065.516900062561,73386.521039999992,89152.838959999994
SE,72.212910000000,87.727090000000,89854358.636909991503,109158617.303089991212,36777247.944989994168,44678450.715009994805,28711.787999999997,34880.212000000000
SK,54.852170625000,66.636579375000,2951548415.990999698639,3585657378.008999824524,1352676339.125999927521,1643284544.874000072479,129875.889359999986,157778.350639999990
UK,53.339786718750,64.799275781250,6332059196.315999031067,7692435147.684000015259,2127498375.113999843597,2584568900.886000156403,231551.630519999977,281298.049479999987
