DMUs,d_0.1240000000000001_opt,d_0.1240000000000001_pes
AT,-0.176831143625,0.061596112968
BE,-0.388076711971,0.098301830558
BG,-0.125436904988,0.003513666928
CY,-0.001264678790,0.032203499367
CZ,-0.143153831001,0.371890272574
DE,-0.041352000360,0.009511325677
DK,-0.130231045841,0.429840047883
ES,-0.568842159527,-0.126203204767
FR,-0.061416782073,0.305111896240
GR,-0.006613643891,0.233751012327
HU,-0.021675929820,0.049893427008
IE,-0.154549014318,0.302572672739
IT,-0.051326349951,0.195538514195
LT,-0.561243833920,-0.011056752216
LU,0.002616835839,0.095646345072
LV,-0.005206722366,0.004882116296
MT,-0.390755142597,0.204213122289
PL,-0.154018203612,0.035076165556
PT,0.049950798777,0.435438489696
RO,-0.036651585105,0.093942948641
SE,-0.001984817234,0.695974739127
SK,-0.054559991703,0.186386391692
UK,-0.058842740466,0.343656426572
