DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,24.306562500000,34.618437500000,931072816.574999809265,1326073405.424999952316,344497257.884999930859,490647609.715000033379,114606.401249999981,163227.298750000016
BE,33.000000000000,47.000000000000,1436061971.849999666214,2045300384.150000095367,264974940.284999966621,377388551.315000057220,30.657000000000,43.663000000000
BG,70.125000000000,99.875000000000,475828063.919999957085,677694515.280000090599,241199218.012499958277,343526158.987500011921,466123.927499999874,663873.472499999916
CY,55.687500000000,79.312500000000,524867311.237499892712,747538291.762500047684,153586349.317499965429,218744194.482500016689,6800.441999999998,9685.477999999999
CZ,47.326010415750,67.403711804250,11857456254.599998474121,16887892241.400001525879,4094442205.424999237061,5831478292.574999809265,68183.387249999985,97109.672749999998
DE,45.375000000000,64.625000000000,217960382.062499970198,310428422.937500000000,45781956.610499992967,65204604.869500003755,206415.098999999958,293985.141000000003
DK,54.089953128750,77.037205971250,8374006143.524998664856,11926614810.475000381470,3326892218.099999427795,4738301037.900000572205,42079.124999999993,59930.875000000000
ES,37.825439305500,53.872595374500,11874936759.674997329712,16912788718.325000762939,4287401805.224999427795,6106299540.775000572205,684680.485499999835,975150.994500000030
FR,62.906250000000,89.593750000000,5689549838.774998664856,8103298255.225000381470,1987830433.049999713898,2831152434.950000286102,288301.934249999933,410611.845750000037
GR,60.499999997250,86.166666662750,3335565472.799999237061,4750653855.199999809265,975212417.849999785423,1388938898.150000095367,61655.937749999990,87813.002250000005
HU,41.250000000000,58.750000000000,769404930.524999856949,1095819143.475000143051,329730708.449999928474,469616463.550000011921,59018.899499999985,84057.220499999996
IE,46.349325000000,66.012675000000,14111663428.499998092651,20098429731.500000000000,4438084675.199998855591,6320908476.800000190735,185886.524999999965,264747.475000000035
IT,70.125000000000,99.875000000000,2848967077.274999618530,4057619776.725000381470,1320745685.324999809265,1881062036.674999952316,146726.489249999984,208974.090750000003
LT,33.000000000000,47.000000000000,109373399.437499985099,155774235.562500000000,23318934.358499996364,33211815.601500000805,165147.674999999959,235210.325000000012
LU,70.125000000000,99.875000000000,1397585090.549999713898,1990499977.450000047684,365934373.859999954700,521179259.740000009537,691.350000000000,984.650000000000
LV,66.000000000000,94.000000000000,149230620.824999958277,212540581.175000011921,87990365.099999979138,125319610.900000005960,8590.337249999999,12234.722750000001
MT,69.819444444750,99.439814815250,13918904289.674997329712,19823893988.325000762939,5788926964.424999237061,8244835373.575000762939,36590.729999999996,52114.070000000007
PL,64.831593750000,92.335906250000,782217313.597499847412,1114067083.002500057220,204597993.269999951124,291397141.930000007153,472287.032249999931,672651.227750000078
PT,69.093750000000,98.406250000000,6191934470.699998855591,8818815761.300001144409,1131719916.524999856949,1611843517.475000143051,2184.732000000000,3111.588000000000
RO,40.218750000000,57.281250000000,1375318752.224999666214,1958787313.775000095367,471455587.102499961853,671467048.297500133514,67047.485999999975,95491.873999999996
SE,65.975250000000,93.964750000000,82092852.575249984860,116920123.364749997854,33600475.697249993682,47855222.962750002742,26231.699999999993,37360.300000000003
SK,50.114109375000,71.374640625000,2696597390.024999618530,3840608403.975000381470,1235833864.649999856949,1760127019.350000143051,118657.373999999967,168996.866000000009
UK,48.732363281250,69.406699218750,5785103916.899998664856,8239390427.100000381470,1943727751.349999666214,2768339524.650000095367,211550.492999999959,301299.187000000034
