DMUs,d_0.17400000000000013_opt,d_0.17400000000000013_pes
AT,-0.184697297701,0.064906502068
BE,-0.428202778082,0.103281758248
BG,-0.185334214195,0.010456568174
CY,-0.004274028575,0.034038036544
CZ,-0.208993909072,0.406940903299
DE,-0.073096151249,0.010715492074
DK,-0.179063698339,0.456358128811
ES,-0.614041007076,-0.082645912804
FR,-0.093717196716,0.328444703162
GR,-0.025517373451,0.245311811522
HU,-0.084502836668,0.052620997560
IE,-0.225207336797,0.343601446433
IT,-0.070541177781,0.206076236184
LT,-0.582665459716,-0.002889519285
LU,-0.004913004532,0.100357813919
LV,-0.006229201872,0.005492563686
MT,-0.425718130759,0.242719899992
PL,-0.203444577369,0.041001682754
PT,0.023649646691,0.455640035293
RO,-0.099917885936,0.098665745033
SE,-0.002073109816,0.708471768487
SK,-0.072932185567,0.196195556769
UK,-0.093632753104,0.364304880220
