DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,25.455600000000,33.469400000000,975087167.903999805450,1282059054.096000194550,360782582.803199946880,474362284.796800076962,120024.158399999986,157809.541600000026
BE,34.560000000000,45.440000000000,1503948537.791999816895,1977413818.208000183105,277501028.371199965477,364862463.228800058365,32.106240000000,42.213760000000
BG,73.440000000000,96.560000000000,498321754.214399933815,655200824.985600113869,252601362.863999962807,332124014.136000037193,488158.876799999911,641838.523200000054
CY,58.320000000000,76.680000000000,549679220.495999932289,722726382.504000067711,160846794.921599984169,211483748.878400027752,7121.917439999998,9364.002560000001
CZ,49.563239999040,65.166482220960,12417990550.271997451782,16327357945.728002548218,4287997655.135999202728,5637922842.864000320435,71406.601919999986,93886.458080000011
DE,47.520000000000,62.480000000000,228263963.759999960661,300124841.240000009537,47946194.559359997511,63040366.920640006661,216172.903679999959,284227.336320000002
DK,56.646932731200,74.480226368800,8769868252.127998352051,11530752701.872001647949,3484163486.591999530792,4581029769.408000946045,44068.319999999992,57941.680000000008
ES,39.613550981760,52.084483698240,12436297406.495998382568,16351428071.504001617432,4490078981.471999168396,5903622364.528000831604,717047.199359999853,942784.280640000128
FR,65.880000000000,86.620000000000,5958510376.607998847961,7834337717.392001152039,2081800598.975999593735,2737182269.024000167847,301930.752959999954,396983.027040000074
GR,63.359999997120,83.306666662880,3493246749.695999622345,4592972578.304000854492,1021313368.511999845505,1342837947.488000154495,64570.582079999993,84898.357920000009
HU,43.200000000000,56.800000000000,805776799.967999935150,1059447274.032000064850,345317978.303999960423,454029193.696000039577,61808.883839999988,81267.236160000000
IE,48.540384000000,63.821616000000,14778760245.119997024536,19431332914.880001068115,4647885041.663999557495,6111108110.336000442505,194673.887999999977,255960.112000000023
IT,73.440000000000,96.560000000000,2983645520.927999496460,3922941333.072000503540,1383180935.903999805450,1818626786.096000194550,153662.650559999980,202037.929440000036
LT,34.560000000000,45.440000000000,114543778.319999977946,150603856.680000007153,24421283.982719998807,32109465.977280002087,172954.655999999988,227403.344000000012
LU,73.440000000000,96.560000000000,1463652749.375999689102,1924432318.624000310898,383233089.715199947357,503880543.884800076485,724.032000000000,951.968000000000
LV,69.120000000000,90.880000000000,156285159.263999968767,205486042.736000031233,92149909.631999984384,121160066.368000015616,8996.425920000000,11828.634080000002
MT,73.120000000320,96.139259259680,14576888856.095998764038,19165909421.904003143311,6062585330.015998840332,7971177007.984001159668,38320.473599999998,50384.326400000005
PL,67.896360000000,89.271140000000,819194859.331199884415,1077089537.268800020218,214269898.406399965286,281725236.793600022793,494613.328319999913,650324.931680000038
PT,72.360000000000,95.140000000000,6484644100.223999023438,8526106131.776000976562,1185219403.487999916077,1558344030.512000083923,2288.010240000000,3008.309760000000
RO,42.120000000000,55.380000000000,1440333820.511999845505,1893772245.488000154495,493742578.492799997330,649180056.907200098038,70217.003519999984,92322.356480000002
SE,69.094080000000,90.845920000000,85973605.606079980731,113039370.333920016885,35188861.821119993925,46266836.838880002499,27471.743999999995,36120.256000000001
SK,52.483140000000,69.005610000000,2824072903.007999420166,3713132890.992000579834,1294255101.887999773026,1701705782.112000226974,124266.631679999977,163387.608319999999
UK,51.036075000000,67.102987500000,6058581556.607998847961,7965912787.392001152039,2035613063.231999635696,2676454212.768000125885,221551.061759999953,291298.618240000040
