DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,25.927000000000,32.998000000000,993144337.679999828339,1264001884.320000171661,367463741.743999958038,467681125.856000065804,122246.827999999994,155586.872000000032
BE,35.200000000000,44.800000000000,1531799436.639999866486,1949562919.360000133514,282639936.303999960423,359723555.296000063419,32.700800000000,41.619200000000
BG,74.800000000000,95.200000000000,507549934.847999930382,645972644.352000117302,257279165.879999965429,327446211.120000004768,497198.855999999912,632798.543999999994
CY,59.400000000000,75.600000000000,559858465.319999933243,712547137.680000066757,163825439.271999984980,208505104.528000026941,7253.804799999998,9232.115200000000
CZ,50.481077776800,64.248644443200,12647953338.239997863770,16097395157.760002136230,4367405019.119999885559,5558515478.880000114441,72728.946399999986,92564.113600000012
DE,48.400000000000,61.600000000000,232491074.199999958277,295897730.800000011921,48834087.051199994981,62152474.428800009191,220176.105599999981,280224.134400000039
DK,57.695950004000,73.431209096000,8932273219.759998321533,11368347734.240001678467,3548685032.639999389648,4516508223.360000610352,44884.399999999994,57125.600000000006
ES,40.347135259200,51.350899420800,12666599210.319997787476,16121126267.680002212524,4573228592.239999771118,5820472753.760000228882,730325.851199999917,929505.628800000064
FR,67.100000000000,85.400000000000,6068853161.359999656677,7723994932.640000343323,2120352461.919999837875,2698630406.080000400543,307522.063199999975,391391.716800000053
GR,64.533333330400,82.133333329600,3557936504.319999694824,4528282823.680000305176,1040226579.039999842644,1323924736.960000038147,65766.333599999998,83702.606400000004
HU,44.000000000000,56.000000000000,820698592.559999942780,1044525481.440000057220,351712755.679999947548,447634416.320000052452,62953.492799999993,80122.627200000003
IE,49.439280000000,62.922720000000,15052440990.399997711182,19157652169.600002288818,4733956986.879999160767,6025036165.120000839233,198278.959999999963,252355.040000000037
IT,74.800000000000,95.200000000000,3038898215.759999752045,3867688638.240000247955,1408795397.679999828339,1793012324.320000171661,156508.255199999985,199192.324800000031
LT,35.200000000000,44.800000000000,116664959.399999991059,148482675.600000023842,24873529.982399996370,31657219.977600004524,176157.519999999990,224200.480000000010
LU,74.800000000000,95.200000000000,1490757429.919999837875,1897327638.080000162125,390329998.783999979496,496783634.816000044346,737.440000000000,938.560000000000
LV,70.400000000000,89.600000000000,159179328.879999995232,202591873.120000004768,93856389.439999982715,119453586.560000017285,9163.026399999999,11662.033600000002
MT,74.474074074400,94.785185185600,14846831242.319997787476,18895967035.680000305176,6174855428.719999313354,7858906909.280000686646,39030.111999999994,49674.688000000009
PL,69.153700000000,88.013800000000,834365134.503999829292,1061919262.096000075340,218237859.487999975681,277757275.712000012398,503772.834399999934,641165.425600000075
PT,73.700000000000,93.800000000000,6604730102.079998970032,8406020129.920001029968,1207167910.959999799728,1536395523.040000200272,2330.380799999999,2965.939200000000
RO,42.900000000000,54.600000000000,1467006669.039999723434,1867099396.960000276566,502885959.575999975204,640036675.824000120163,71517.318399999989,91022.041599999997
SE,70.373600000000,89.566400000000,87565709.413599982858,111447266.526400014758,35840507.410399995744,45615191.249600000679,27980.479999999996,35611.520000000004
SK,53.455050000000,68.033700000000,2876370549.359999656677,3660835244.640000343323,1318222788.959999799728,1677738095.040000200272,126567.865599999976,161086.374400000001
UK,51.981187500000,66.157875000000,6170777511.359999656677,7853716832.640000343323,2073309601.439999818802,2638757674.560000419617,225653.859199999977,287195.820800000045
