DMUs,d_0.09900000000000007_opt,d_0.09900000000000007_pes
AT,-0.259992348462,-0.054653814572
BE,0.010548902292,0.041207753709
BG,-0.095622648566,-0.003421107767
CY,0.000087208141,0.013771198627
CZ,-0.107102652289,0.176744921178
DE,-0.025374659723,0.005542582241
DK,-0.096081585220,0.119576915514
ES,-0.543891402584,-0.290890173061
FR,-0.043963379792,0.099836271545
GR,0.004423513543,0.079197369132
HU,-0.010894434360,0.011514490776
IE,-0.118869033839,0.176457493235
IT,-0.041520331684,0.036213970598
LT,-0.054795310741,-0.013419501922
LU,0.006444532235,0.036848128686
LV,-0.004283893775,0.000955236418
MT,-0.372361551508,-0.053312913253
PL,-0.129985562813,0.021439015213
PT,0.064463732979,0.180488793652
RO,-0.007825364091,0.027640973711
SE,-0.002992806448,-0.000572107700
SK,-0.044222553684,0.034365218774
UK,-0.038980257049,0.101456040194
