DMUs,d_0.03700000000000002_opt,d_0.03700000000000002_pes
AT,-0.195694423709,-0.118951739325
BE,0.019781006205,0.031240749462
BG,-0.033890911511,-0.010403851934
CY,0.004284449328,0.009429979544
CZ,-0.019134220847,0.086951058202
DE,0.001481127574,0.003862869557
DK,-0.027528925536,0.053385145489
ES,-0.458905297692,-0.367485303407
FR,0.000678676570,0.054623626442
GR,0.027801989812,0.055649179032
HU,-0.003428990116,0.004680345985
IE,-0.027157803391,0.083192622737
IT,-0.017004148332,0.012048393860
LT,-0.036820969329,-0.024087817946
LU,0.016187246518,0.027540398568
LV,-0.002455547080,-0.000457237105
MT,-0.272457432458,-0.153217032302
PL,-0.060217431340,0.015967942172
PT,0.099960030436,0.143429757676
RO,0.003565210817,0.016953452772
SE,-0.002224410502,-0.001307292761
SK,-0.019718816836,0.009652451776
UK,0.004543103191,0.057161768261
