DMUs,d_0.18300000000000013_opt,d_0.18300000000000013_pes
AT,-0.186113205434,0.065512628584
BE,-0.434999380991,0.104182073270
BG,-0.196154429492,0.011632857834
CY,-0.004809231143,0.034407522354
CZ,-0.220868454515,0.413405426663
DE,-0.078701213360,0.010906184954
DK,-0.188053092015,0.461194671120
ES,-0.621912229129,-0.074795523383
FR,-0.099546440760,0.332656099159
GR,-0.028612869588,0.247387418016
HU,-0.096595998806,0.053132942185
IE,-0.237925987751,0.351136155255
IT,-0.074040872256,0.207959515832
LT,-0.586644472276,-0.002495757622
LU,-0.006258153987,0.101235713695
LV,-0.006412387775,0.005643217081
MT,-0.432011468629,0.249824314589
PL,-0.212582096539,0.042023432156
PT,0.019217410992,0.459239022752
RO,-0.111843087489,0.099530673242
SE,-0.002089002480,0.710752375230
SK,-0.077061330236,0.197950307275
UK,-0.100128429362,0.368040187107
