DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,26.810875000000,32.114125000000,1027001531.009999871254,1230144690.990000009537,379990914.757999956608,455153952.842000067234,126414.333499999993,151419.366500000004
BE,36.400000000000,43.600000000000,1584019871.979999780655,1897342484.020000219345,292275388.677999973297,350088102.922000050545,33.815600000000,40.504400000000
BG,77.350000000000,92.650000000000,524852773.535999953747,628669805.664000034332,266050046.534999966621,318675330.465000033379,514148.816999999923,615848.582999999984
CY,61.425000000000,73.575000000000,578944549.364999890327,693461053.635000109673,169410397.428999990225,202920146.371000021696,7501.093599999998,8984.826400000000
CZ,52.202023610100,62.527698609900,13079133565.679998397827,15666214930.320001602173,4516293826.589999198914,5409626671.410000801086,75208.342299999989,90084.717700000008
DE,50.050000000000,59.950000000000,240416906.274999976158,287971898.725000023842,50498885.473399996758,60487676.006600007415,227682.109199999977,272718.130800000043
DK,59.662857390500,71.464301709500,9236782534.069999694824,11063838419.930000305176,3669662931.479999542236,4395530324.520000457764,46414.549999999996,55595.450000000004
ES,41.722605779400,49.975428900600,13098415092.489999771118,15689310385.510000228882,4729134112.429999351501,5664567233.570000648499,755223.323399999877,904608.156600000104
FR,69.387500000000,83.112500000000,6275745882.769999504089,7517102211.230000495911,2192637204.939999580383,2626345663.060000419617,318005.769900000014,380908.010100000014
GR,66.733333330300,79.933333329700,3679229794.239999771118,4406989533.760000228882,1075688848.779999971390,1288462467.220000028610,68008.367699999988,81460.572300000014
HU,45.500000000000,54.500000000000,848676953.669999957085,1016547120.330000042915,363702963.259999990463,435644208.740000009537,65099.634599999990,77976.485400000005
IE,51.124710000000,61.237290000000,15565592387.799999237061,18644500772.200000762939,4895341884.159999847412,5863651267.840000152588,205038.469999999972,245595.530000000028
IT,77.350000000000,92.650000000000,3142497018.569999694824,3764089835.430000305176,1456822513.509999990463,1744985208.490000009537,161843.763899999991,193856.816100000025
LT,36.400000000000,43.600000000000,120642173.924999982119,144505461.075000017881,25721491.231799997389,30809258.728200003505,182162.889999999985,218195.110000000015
LU,77.350000000000,92.650000000000,1541578705.939999818802,1846506362.060000181198,403636703.287999987602,483476930.312000036240,762.580000000000,913.420000000000
LV,72.800000000000,87.200000000000,164605896.909999996424,197165305.090000003576,97056039.079999998212,116253936.920000001788,9475.402300000000,11349.657700000002
MT,77.012962963300,92.246296296700,15352973216.489997863770,18389825061.510002136230,6385361863.789999008179,7648400474.210000991821,40360.684000000001,48344.116000000002
PL,71.511212500000,85.656287500000,862809400.452999830246,1033474996.147000074387,225677786.515999972820,270317348.684000015259,520946.908299999952,623991.351699999999
PT,76.212500000000,91.287500000000,6829891355.559999465942,8180858876.440000534058,1248321362.469999790192,1495242071.530000209808,2409.825600000000,2886.494400000000
RO,44.362500000000,53.137500000000,1517018260.029999971390,1817087805.970000028610,520029799.106999993324,622892836.293000102043,73955.408799999990,88583.951199999996
SE,72.772700000000,87.167300000000,90550904.052699998021,108462071.887299999595,37062342.890299998224,44393355.769699998200,28934.359999999997,34657.639999999999
SK,55.277381250000,66.211368750000,2974428636.269999504089,3562777157.730000495911,1363162202.219999790192,1632798681.780000209808,130882.679199999984,156771.560800000007
UK,53.753273437500,64.385789062500,6381144926.519999504089,7643349417.480000495911,2143990610.579999923706,2568076665.420000076294,233346.604399999982,279503.075600000040
