DMUs,d_0.19600000000000015_opt,d_0.19600000000000015_pes
AT,-0.188158405494,0.066388144663
BE,-0.444586305997,0.105482528302
BG,-0.210657826723,0.013294375932
CY,-0.005578368871,0.034941224079
CZ,-0.238032422063,0.422832555271
DE,-0.086809450440,0.011181630224
DK,-0.201139707352,0.468216528231
ES,-0.631971707643,-0.063450584214
FR,-0.108027922042,0.338745525128
GR,-0.032939591618,0.250382798090
HU,-0.114063899672,0.053872417754
IE,-0.256297461936,0.362105721486
IT,-0.079317511895,0.210672928171
LT,-0.591973065950,-0.001944153525
LU,-0.008195157903,0.102503791149
LV,-0.006676515227,0.005860827539
MT,-0.441101845551,0.260185970867
PL,-0.225907823786,0.043476454551
PT,0.012958495172,0.464426896467
RO,-0.129068378620,0.100780013987
SE,-0.002111958552,0.714064115410
SK,-0.083203813346,0.200479396180
UK,-0.109629675254,0.373445928721
