DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,25.691300000000,33.233700000000,984115752.791999816895,1273030469.208000183105,364123162.273599982262,471021705.326400041580,121135.493199999983,156698.206800000014
BE,34.880000000000,45.120000000000,1517873987.215999841690,1963488368.784000158310,280070482.337599992752,362293009.262400031090,32.403520000000,41.916480000000
BG,74.120000000000,95.880000000000,502935844.531199932098,650586734.668800115585,254940264.371999979019,329785112.628000020981,492678.866399999883,637318.533599999966
CY,58.860000000000,76.140000000000,554768842.907999873161,717636760.092000126839,162336117.096799969673,209994426.703200042248,7187.861119999999,9298.058880000000
CZ,50.022158887920,64.707563332080,12532971944.255998611450,16212376551.744001388550,4327701337.127999305725,5598219160.872000694275,72067.774159999986,93225.285840000011
DE,47.960000000000,62.040000000000,230377518.979999959469,298011286.020000040531,48390140.805279992521,62596420.674720011652,218174.504639999970,282225.735360000050
DK,57.171441367600,73.955717732400,8851070735.943998336792,11449550218.056001663208,3516424259.615999698639,4548768996.384000778198,44476.359999999993,57533.640000000007
ES,39.980343120480,51.717691559520,12551448308.407999038696,16236277169.592000961304,4531653786.855998992920,5862047559.144001007080,723686.525279999943,936144.954720000038
FR,66.490000000000,86.010000000000,6013681768.983999252319,7779166325.016000747681,2101076530.447999715805,2717906337.552000045776,304726.408079999965,394187.371920000063
GR,63.946666663760,82.719999996240,3525591627.007999420166,4560627700.992000579834,1030769973.775999903679,1333381342.224000215530,65168.457839999995,84300.482160000014
HU,43.600000000000,56.400000000000,813237696.263999938965,1051986377.736000061035,348515366.991999983788,450831805.008000016212,62381.188319999987,80694.931680000009
IE,48.989832000000,63.372168000000,14915600617.759998321533,19294492542.240001678467,4690921014.271999359131,6068072137.728000640869,196476.423999999970,254157.576000000030
IT,74.120000000000,95.880000000000,3011271868.343999385834,3895314985.656000614166,1395988166.791999816895,1805819555.208000183105,155085.452879999997,200615.127120000019
LT,34.880000000000,45.120000000000,115604368.859999984503,149543266.140000015497,24647406.982559997588,31883342.977440003306,174556.087999999989,225801.912000000011
LU,74.120000000000,95.880000000000,1477205089.647999763489,1910879978.352000236511,386781544.249599933624,500332089.350400090218,730.736000000000,945.264000000000
LV,69.760000000000,90.240000000000,157732244.071999967098,204038957.928000032902,93003149.535999983549,120306826.464000016451,9079.726160000000,11745.333840000001
MT,73.797037037360,95.462222222640,14711860049.207998275757,19030938228.792003631592,6118720379.367999076843,7915041958.632000923157,38675.292799999996,50029.507200000007
PL,68.525030000000,88.642470000000,826779996.917599797249,1069504399.682400107384,216253878.947199970484,279741256.252800047398,499193.081359999953,645745.178640000056
PT,73.030000000000,94.470000000000,6544687101.151999473572,8466063130.848000526428,1196193657.223999738693,1547369776.776000261307,2309.195520000000,2987.124480000000
RO,42.510000000000,54.990000000000,1453670244.775999784470,1880435821.224000215530,498314269.034399986267,644608366.365600109100,70867.160959999979,91672.199040000007
SE,69.733840000000,90.206160000000,86769657.509839981794,112243318.430160015821,35514684.615759991109,45941014.044240005314,27726.111999999997,35865.888000000006
SK,52.969095000000,68.519655000000,2850221726.183999538422,3686984067.816000461578,1306238945.423999786377,1689721938.576000213623,125417.248639999976,162236.991360000015
UK,51.508631250000,66.630431250000,6114679533.983999252319,7909814810.016000747681,2054461332.335999727249,2657605943.664000034332,223602.460479999980,289247.219520000042
