DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,24.129787500000,34.795212500000,924301377.908999800682,1332844844.091000080109,341991823.282199919224,493153044.317800045013,113772.900149999987,164060.799850000010
BE,32.760000000000,47.240000000000,1425617884.781999826431,2055744471.218000173569,263047849.810199946165,379315641.789800047874,30.434040000000,43.885960000000
BG,69.615000000000,100.385000000000,472367496.182399928570,681155083.017600059509,239445041.881499946117,345280335.118499994278,462733.935299999896,667263.464700000011
CY,55.282500000000,79.717500000000,521050094.428499877453,751355508.571500062943,152469357.686099976301,219861186.113900005817,6750.984239999998,9734.935759999998
CZ,46.981821249090,67.747900970910,11771220209.111997604370,16974128286.888000488281,4064664443.930999279022,5861256054.069000244141,67687.508069999982,97605.551930000001
DE,45.045000000000,64.955000000000,216375215.647499948740,312013589.352500021458,45448996.926059991121,65537564.553940005600,204913.898279999965,295486.341720000026
DK,53.696571651450,77.430587448550,8313104280.662998199463,11987516673.336999893188,3302696638.331999301910,4762496617.668000221252,41773.094999999994,60236.905000000006
ES,37.550345201460,54.147689478540,11788573583.240997314453,16999151894.759000778198,4256220701.186999320984,6137480644.813000679016,679700.991059999913,980130.488940000068
FR,62.448750000000,90.051250000000,5648171294.492999076843,8144676799.506999969482,1973373484.445999622345,2845609383.553999900818,286205.192909999983,412708.587090000045
GR,60.059999997270,86.606666662730,3311306814.815999507904,4774912513.184000015259,968119963.901999831200,1396031352.098000049591,61207.530929999986,88261.409070000009
HU,40.950000000000,59.050000000000,763809258.302999854088,1101414815.697000026703,327332666.933999955654,472014505.066000044346,58589.671139999984,84486.448860000004
IE,46.012239000000,66.349761000000,14009033149.019996643066,20201060010.979999542236,4405807695.743999481201,6353185456.256000518799,184534.622999999963,266099.377000000037
IT,69.615000000000,100.385000000000,2828247316.712999343872,4078339537.287000179291,1311140262.158999681473,1890667459.841000080109,145659.387509999971,210041.192490000016
LT,32.760000000000,47.240000000000,108577956.532499983907,156569678.467500001192,23149342.108619995415,33381407.851380001754,163946.600999999966,236411.399000000005
LU,69.615000000000,100.385000000000,1387420835.345999717712,2000664232.654000043869,363273032.959199965000,523840600.640800058842,686.322000000000,989.678000000000
LV,65.520000000000,94.480000000000,148145307.218999981880,213625894.781000018120,87350435.171999976039,125959540.828000009060,8527.862069999999,12297.197930000002
MT,69.311666666970,99.947592593030,13817675894.840997695923,19925122383.159000396729,5746825677.410999298096,8286936660.589000701904,36324.615599999997,52380.184400000006
PL,64.360091250000,92.807408750000,776528460.407699823380,1119755936.192300081253,203110007.864399969578,292885127.335600018501,468852.217469999916,676086.042529999977
PT,68.591250000000,98.908750000000,6146902220.003998756409,8863848011.996000289917,1123489226.222999811172,1620074207.776999950409,2168.843039999999,3127.476960000000
RO,39.926250000000,57.573750000000,1365316434.026999711990,1968789631.973000049591,468026819.196299970150,674895816.203700065613,66559.867919999975,95979.492079999996
SE,65.495430000000,94.444570000000,81495813.647429987788,117517162.292570009828,33356108.601269990206,48099590.058729998767,26040.923999999995,37551.076000000001
SK,49.749643125000,71.739106875000,2676985772.642999649048,3860220021.357000350952,1226845981.997999668121,1769114902.002000093460,117794.411279999971,169859.828719999990
UK,48.377946093750,69.761116406250,5743030433.867999076843,8281463910.131999969482,1929591549.521999597549,2782475726.478000164032,210011.943959999946,302837.736039999989
