DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,0.000000000000,0.893167550015,0.935896426272,0.953132995163,0.043210074298,0.058733757000,0.130377595812,0.173899730036
BE,0.713347267841,0.884144520752,0.898534486055,0.925119711903,0.032472336239,0.044412596437,0.000009896088,1.000000000000
BG,0.000000000000,0.308375634518,0.969577995579,0.978386805221,0.029261948442,0.040130830684,0.530380441167,0.707392439768
CY,0.244065392655,0.532285756942,0.965949796027,0.975666449127,0.017431759596,0.024352644159,0.007701805201,0.010284294018
CZ,0.417019464785,0.661963482065,0.127501076526,0.347013297235,0.549557572720,0.734060700636,0.077551388572,0.103444240101
DE,0.457375335921,0.692221558674,0.988656498181,0.992691509272,0.002875150011,0.004938169532,0.234849599584,0.313236369839
DK,0.277110011561,0.557061993515,0.385226323570,0.540250862166,0.445916846940,0.595832754818,0.047846527801,0.063826205257
ES,0.613534983284,0.809307138543,0.126207770365,0.346043600490,0.575612518065,0.768810761930,0.779082820259,1.000000000000
FR,0.094748432368,0.420330695730,0.583837511404,0.689165812274,0.265106036495,0.354681347187,0.328031204059,0.437514752471
GR,0.144520752520,0.457649049510,0.757998525030,0.819748479534,0.128374269489,0.172319142184,0.070123598554,0.093537631009
HU,0.542699313228,0.756195879367,0.947857526486,0.962101204160,0.041216176929,0.056074451640,0.067122829817,0.089535438866
IE,0.437221812481,0.677110824127,0.000000000000,0.221965574073,0.595958921901,0.795947214188,0.211489489780,0.282080470766
IT,0.000000000000,0.308375634518,0.793999813321,0.846741571455,0.175030929267,0.234546169170,0.166928053850,0.222647890524
LT,0.713347267841,0.884144520752,0.996690374376,0.998715159227,0.000892807700,1.000000000000,0.187890100305,0.250605439062
LU,0.000000000000,0.308375634518,0.901381222314,0.927254141452,0.046104684806,0.062594363546,0.000750077335,0.001012619629
LV,0.030755449388,0.372349955211,0.993741512788,0.996504158019,0.008574466228,0.012539474591,0.009738583283,0.013000790339
MT,0.000000000000,0.313114473083,0.000000000000,0.232658509358,0.778360430051,1.000000000000,0.041601110567,0.055496553100
PL,0.054923465960,0.390470681547,0.946909594268,0.961390462330,0.024319758931,0.033539322386,0.537393631839,0.716746088471
PT,0.000000000000,0.324369214691,0.546668268485,0.661297009841,0.149507161183,0.200504550827,0.002449443667,0.003279102380
RO,0.564030307554,0.772189459540,0.903028611357,0.928489322913,0.060353001275,0.081597660775,0.076258810826,0.101720300352
SE,0.031267393252,0.372733801135,0.000000000000,0.998708742791,0.001230309227,0.002744408720,0.029813244627,0.039774813579
SK,0.359348751493,0.618723060988,0.805272980450,0.855193981104,0.163565457484,0.219254413921,0.134987325073,0.180047828689
UK,0.387929617516,0.640152459223,0.576767882845,0.683865137143,0.259150940389,0.346738902790,0.240693325881,0.321030277841
