DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,26.516250000000,32.408750000000,1015715799.899999856949,1241430422.100000143051,375815190.419999957085,459329677.180000066757,125025.164999999994,152808.535000000033
BE,36.000000000000,44.000000000000,1566613060.199999809265,1914749295.800000190735,289063571.219999969006,353299920.380000054836,33.444000000000,40.876000000000
BG,76.500000000000,93.500000000000,519085160.639999985695,634437418.560000061989,263126419.649999976158,321598957.350000023842,508498.829999999900,621498.569999999949
CY,60.750000000000,74.250000000000,572582521.349999904633,699823081.650000095367,167548744.709999978542,204781799.090000033379,7418.663999999999,9067.255999999999
CZ,51.628374999000,63.101347221000,12935406823.199998855591,15809941672.800001144409,4466664224.099999427795,5459256273.900000572205,74381.876999999993,90911.183000000005
DE,49.500000000000,60.500000000000,237774962.249999970198,290613842.750000000000,49943952.665999993682,61042608.814000010490,225180.107999999978,275220.132000000041
DK,59.007221595000,72.119937505000,9135279429.299999237061,11165341524.700000762939,3629336965.199999809265,4435856290.800000190735,45904.499999999993,56105.500000000007
ES,41.264115606000,50.433919074000,12954476465.099998474121,15833249012.900001525879,4677165605.699999809265,5716535740.300000190735,746924.165999999968,912907.314000000013
FR,68.625000000000,83.875000000000,6206781642.299999237061,7586066451.700000762939,2168542290.599999904633,2650440577.400000095367,314511.201000000001,384402.579000000027
GR,65.999999997000,80.666666663000,3638798697.599999427795,4447420630.400000572205,1063868092.199999928474,1300283223.800000190735,67261.023000000001,82207.917000000001
HU,45.000000000000,55.000000000000,839350833.299999952316,1025873240.700000047684,359706227.399999976158,439640944.600000023842,64384.253999999994,78691.866000000009
IE,50.562900000000,61.799100000000,15394541921.999998092651,18815551238.000000000000,4841546918.399999618530,5917446233.600000381470,202785.299999999988,247848.700000000012
IT,76.500000000000,93.500000000000,3107964084.299999713898,3798622769.700000286102,1440813474.899999856949,1760994247.100000143051,160065.260999999999,195635.319000000018
LT,36.000000000000,44.000000000000,119316435.749999985099,145831199.250000000000,25438837.481999997050,31091912.478000003844,180161.099999999977,220196.900000000023
LU,76.500000000000,93.500000000000,1524638280.599999904633,1863446787.400000095367,399201135.119999945164,487912498.480000078678,754.200000000000,921.800000000000
LV,72.000000000000,88.000000000000,162797040.899999976158,198974161.100000023842,95989489.199999988079,117320486.800000011921,9371.277000000000,11453.783000000001
MT,76.166666667000,93.092592593000,15184259225.099998474121,18558539052.900001525879,6315193052.099999427795,7718569285.900000572205,39917.159999999996,48787.640000000007
PL,70.725375000000,86.442125000000,853327978.469999909401,1042956418.129999995232,223197810.839999973774,272797324.360000014305,515222.216999999946,629716.043000000063
PT,75.375000000000,92.125000000000,6754837604.399999618530,8255912627.600000381470,1234603545.299999952316,1508959888.700000047684,2383.344000000000,2912.976000000000
RO,43.875000000000,53.625000000000,1500347729.699999809265,1833758336.300000190735,514315185.930000007153,628607449.470000147820,73142.711999999985,89396.648000000001
SE,71.973000000000,87.967000000000,89555839.172999992967,109457136.767000004649,36655064.396999992430,44800634.263000003994,28616.399999999998,34975.600000000006
SK,54.669937500000,66.818812500000,2941742607.299999713898,3595463186.700000286102,1348182397.799999952316,1647778486.200000047684,129444.407999999981,158209.831999999995
UK,53.162578125000,64.976484375000,6311022454.799999237061,7713471889.200000762939,2120430274.199999809265,2591637001.800000190735,230782.355999999971,282067.324000000022
