DMUs,d_0.1310000000000001_opt,d_0.1310000000000001_pes
AT,-0.177932405196,0.062047210757
BE,-0.393725735289,0.098996023555
BG,-0.133800816515,0.004528878525
CY,-0.001689346506,0.032408250342
CZ,-0.152357653396,0.376713400952
DE,-0.045813186869,0.009804425051
DK,-0.136950173052,0.433517908224
ES,-0.575321893591,-0.120110850623
FR,-0.066225148533,0.308372055159
GR,-0.009451196165,0.235372674865
HU,-0.028420064121,0.050250524175
IE,-0.164441097806,0.308235917942
IT,-0.054011545087,0.197021770424
LT,-0.564095359317,-0.009559774422
LU,0.001557208994,0.096266370015
LV,-0.005350349047,0.004913514827
MT,-0.395649960940,0.209510503044
PL,-0.160799426381,0.035932209247
PT,0.046081722031,0.438356670647
RO,-0.044735984065,0.094585194712
SE,-0.001997178195,0.697707222116
SK,-0.056756422042,0.187766108618
UK,-0.063575404829,0.346536884686
