DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,27.930450000000,30.994550000000,1069887309.227999925613,1187258912.772000074387,395858667.242399990559,439286200.357600033283,131693.173799999990,146140.526200000022
BE,37.920000000000,42.080000000000,1650165756.743999958038,1831196599.256000041962,304480295.018400013447,337883196.581600010395,35.227680000000,39.092320000000
BG,80.580000000000,89.420000000000,546769702.540799975395,606752876.659200072289,277159828.698000013828,307565548.301999986172,535618.767599999905,594378.632400000002
CY,63.990000000000,71.010000000000,603120255.822000026703,669285347.177999973297,176484677.761200010777,195845866.038800001144,7814.326079999999,8671.593919999999
CZ,54.381888332280,60.347833887720,13625295187.104000091553,15120053308.895999908447,4704886316.052000045776,5221034181.947999954224,78348.910439999992,86944.149560000005
DE,52.140000000000,57.860000000000,250456293.569999992847,277932511.430000007153,52607630.141520000994,58378931.338480003178,237189.713759999984,263210.526240000036
DK,62.154273413400,68.972885686600,9622494332.195999145508,10678126621.804000854492,3822901603.343999862671,4242291652.656000137329,48352.739999999998,53657.260000000002
ES,43.464868438320,48.233166241680,13645381876.571998596191,15142343601.428001403809,4926614438.003999710083,5467086907.996000289917,786760.121519999928,873071.358480000054
FR,72.285000000000,80.215000000000,6537809996.555999755859,7255038097.444000244141,2284197879.431999683380,2534784988.568000316620,331285.131720000005,367628.648280000023
GR,69.519999996840,77.146666663160,3832867961.471999645233,4253351366.528000354767,1120607723.783999919891,1243543592.216000080109,70848.277560000002,78620.662440000000
HU,47.400000000000,52.600000000000,884116211.075999975204,981107862.924000024796,378890559.527999997139,420456612.472000002861,67818.080879999994,75258.039120000001
IE,53.259588000000,59.102412000000,16215584157.840000152588,17994509002.159999847412,5099762754.047999382019,5659230397.952000617981,213600.516000000003,237033.483999999997
IT,80.580000000000,89.420000000000,3273722168.796000003815,3632864685.203999996185,1517656860.227999925613,1684150861.772000074387,168602.074920000014,187098.505080000003
LT,37.920000000000,42.080000000000,125679978.989999994636,139467656.010000020266,26795575.481040000916,29735174.478959999979,189769.691999999981,210588.308000000019
LU,80.580000000000,89.420000000000,1605952322.231999874115,1782132745.768000125885,420491862.326399981976,466621771.273600041866,794.424000000000,881.576000000000
LV,75.840000000000,84.160000000000,171479549.747999995947,190291652.252000004053,101108928.623999997973,112201047.376000002027,9871.078439999999,10953.981560000002
MT,80.228888889240,89.030370370760,15994086383.771999359131,17748711894.228000640869,6652003348.211999893188,7381758989.788000106812,42046.075199999999,46658.724800000004
PL,74.497395000000,82.670105000000,898838803.988399863243,997445592.611600041389,235101694.084799975157,260893441.115200012922,542700.735239999951,602237.524760000058
PT,79.395000000000,88.105000000000,7115095609.967999458313,7895654622.032000541687,1300449067.715999841690,1443114366.284000158310,2510.455680000000,2785.864320000000
RO,46.215000000000,51.285000000000,1580366275.283999919891,1753739790.716000080109,541745329.179600000381,601177306.220400094986,77043.656639999987,85495.703360000000
SE,75.811560000000,84.128440000000,94332150.595559999347,104680825.344439998269,38610001.164839997888,42845697.495159998536,30142.608000000000,33449.392000000000
SK,57.585667500000,63.903082500000,3098635546.355999946594,3438570247.644000053406,1420085459.016000032425,1575875424.983999967575,136348.109759999992,151306.130239999999
UK,55.997915625000,62.141146875000,6647610319.055999755859,7376884024.944000244141,2233519888.823999881744,2478547387.176000118256,243090.748319999984,269758.931679999980
